Name,Latitude,Longitude
Bloomington Avenue and Ninth Line,44.00641872,-79.26421374
Highway 7 and Red Maple Road,43.83852273,-79.42031365
Stouffville Road and Bayview Avenue,43.93106764,-79.42871996
Rutherford Road and Sweetriver Boulevard/Vaughan Mills Mall,43.82932992,-79.5392087
Ravenshoe Road and Warden Avenue,44.20422657,-79.41437937
Highway 7 and Islington Avenue,43.7806111,-79.58929733
Keele Street and King Road,43.92870638,-79.52821837
Bathurst Street and 18th Sideroad/St. Johns Sideroad,44.0125462,-79.49840855
Bloomington Road and Kennedy Road,43.99033325,-79.33703884
Woodbine Avenue and Ravenshoe Road,44.19870431,-79.43968152
Weston Road and Colossus Road / Rowntree Dairy Road,43.78586624,-79.54651643
Warden Avenue and Baycliffe Road/ Carlton Road,43.86752869,-79.33700008
Pine Valley Drive and Chancellor Drive / Willis Road,43.79478366,-79.57582374
Elgin Mills Road East and Enford Road / Yorkland Street,43.89027855,-79.43841255
Highway 7 at Yonge Street Ramp and Highway 7,43.83703839,-79.42576035
Leslie Street and Green Lane East,44.08392285,-79.43707959
Highway 7 and Weston Road,43.78904495,-79.5480647
Highway 7 at Bathurst Street Ramp and Bathurst Street,43.82963235,-79.45167823
Woodbine Avenue and 16th Avenue,43.86792763,-79.36277617
Keele Street and Doney Crescent/ Jardin Drive,43.7959614,-79.49835562
Woodbine Avenue and Steelcase Road,43.81945687,-79.3500932
Keele Street and Kirby Road,43.89176304,-79.52090264
14th Avenue and Birchmount Road,43.83983599,-79.32035015
Bayview Avenue and Crosby Avenue / Redstone Road,43.88489195,-79.4174323
Yonge Street and Jefferson Forest Road/Tower Hill Road,43.91424986,-79.44762361
Bayview Avenue and Mulock Drive,44.04124589,-79.45196014
Davis Drive and Ashton Road at Carlson Drive,44.06435228,-79.43867812
Woodbine Avenue and Bloomington Road,43.97922766,-79.38645866
King Road and Bathurst Street,43.93861815,-79.48120183
The Queensway South and Metro Road South at Morton Avenue,44.23331411,-79.46543208
Highway 7 and Vaughan Valley Boulevard,43.77182739,-79.62602486
Woodbine Avenue and Davis Drive,44.07080984,-79.40726369
Highway 27 and Langstaff Road,43.79112244,-79.62587656
King Road and Dufferin Street,43.93372865,-79.50548303
Green Lane East and Main Street North/2nd Concession Road,44.07807021,-79.4608514
Weston Road & Rutherford Road,43.82618002,-79.55619405
Warden Ave. and 14th Avenue / Alden Road,43.83773137,-79.32926024
Islington Ave. and Rutherford Rd,43.81712346,-79.60009595
Highway 7 and Jane St.,43.79435596,-79.52422716
Rutherford Road and Julliard Drive/Vaughan Mills Mall,43.82978434,-79.53637231